__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1779288962.914475,,,,1779288962.911474943,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.914477,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.914490,,,,1779288962.912318468,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.914491,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.914501,,,,1779288962.913236141,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.914503,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.914512,,,,1779288962.914144516,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.915178,,,,1779288962.915076256,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.915214,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.916011,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.916095,,,,1779288962.915973902,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.916969,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.917084,,,,1779288962.916934967,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.918043,,,,1779288962.917811394,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.918045,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.918818,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.918889,,,,1779288962.918762922,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.919715,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.919767,,,,1779288962.919664860,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.920712,,,,1779288962.920614243,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.920749,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.921568,,,,1779288962.921466351,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.921607,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.922557,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.922621,,,,1779288962.922483206,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.923415,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.923536,,,,1779288962.923372507,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.924414,,,,1779288962.924329042,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.924430,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.925249,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.925355,,,,1779288962.925205469,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.926247,,,,1779288962.926129818,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.926283,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.927143,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.927174,,,,1779288962.927074194,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.928015,,,,1779288962.927898884,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.928053,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.928979,,,,1779288962.928891182,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.928995,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.929899,,,,1779288962.929818392,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.929919,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.930660,,,,1779288962.930612803,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.930676,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.931604,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.931754,,,,1779288962.931575537,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.932527,,,,1779288962.932447195,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.932542,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.933501,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.933601,,,,1779288962.933471918,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.934522,,,,1779288962.934445381,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.934537,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.935230,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.935318,,,,1779288962.935205698,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.936316,,,,1779288962.936223984,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.936352,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.937201,,,,1779288962.937123060,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.937238,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.938077,,,,1779288962.937983513,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.938121,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.939034,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.939143,,,,1779288962.938998938,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.939879,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.939975,,,,1779288962.939835548,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.940924,,,,1779288962.940824270,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.940960,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.941751,,,,1779288962.941650152,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.941792,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.942674,,,,1779288962.942558289,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.942711,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.943506,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.943537,,,,1779288962.943447828,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.944567,,,,1779288962.944483757,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.944603,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.945422,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.945456,,,,1779288962.945381403,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.946362,,,,1779288962.946274281,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.946398,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.947186,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.947238,,,,1779288962.947144747,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.948190,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.948246,,,,1779288962.948126554,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.949051,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.949082,,,,1779288962.949003458,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.950051,,,,1779288962.949963570,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.950087,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.950856,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.950909,,,,1779288962.950804710,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.951821,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.951904,,,,1779288962.951753616,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.952794,,,,1779288962.952681541,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.952838,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.953734,,,,1779288962.953631878,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.953771,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.954543,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.954570,,,,1779288962.954499245,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.955465,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.955548,,,,1779288962.955419302,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.956395,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.956420,,,,1779288962.956349373,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.957439,,,,1779288962.957339048,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.957456,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.958174,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.958270,,,,1779288962.958143234,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.959128,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.959223,,,,1779288962.959096909,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.960071,,,,1779288962.959957361,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.960087,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.960996,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.961094,,,,1779288962.960959911,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.961970,,,,1779288962.961872339,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.961986,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.962901,,,,1779288962.962814093,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.962916,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.963683,,,,1779288962.963624239,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.963699,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.964661,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.964827,,,,1779288962.964649439,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.965545,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.965600,,,,1779288962.965473890,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.966447,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.966597,,,,1779288962.966424465,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.967360,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.967394,,,,1779288962.967304230,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.968297,-0.000000000,0.000000000,0.000000000,,,,,
1779288962.968380,,,,1779288962.968244791,1.000000000,-0.000000000,1.000000000,0.000000000
1779288962.969208,-0.000000000,0.000000000,0.000000000,,,,,
