__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781199597.524712,,,,,,,1781199597.524542809,1.011079689,0.049748397,1.097673914,0.442581862
1781199597.525535,,,,-0.062492009,-0.526151202,0.000000000,,,,,
1781199597.525556,-0.060828086,-0.540255776,0.000000000,,,,,,,,
1781199597.525558,,,,,,,1781199597.525476933,1.011126382,0.049689673,1.098089346,0.442087435
1781199597.526608,-0.060816056,-0.540176781,0.000000000,,,,,,,,
1781199597.526623,,,,-0.060828086,-0.540255776,0.000000000,,,,,
1781199597.526625,,,,,,,1781199597.526569605,1.011180579,0.049623239,1.098571538,0.441497382
1781199597.527730,,,,-0.060816056,-0.540176781,0.000000000,,,,,
1781199597.527750,-0.060803818,-0.540068920,0.000000000,,,,,,,,
1781199597.527752,,,,,,,1781199597.527673244,1.011235382,0.049555984,1.099059118,0.440900014
1781199597.528723,-0.060791366,-0.539959132,0.000000000,,,,,,,,
1781199597.528741,,,,-0.062497270,-0.525499206,0.000000000,,,,,
1781199597.528753,,,,,,,1781199597.528684378,1.011284837,0.049493535,1.099499151,0.440374923
1781199597.529861,-0.060778372,-0.539874074,0.000000000,,,,,,,,
1781199597.529901,,,,-0.060791366,-0.539959132,0.000000000,,,,,
1781199597.529904,,,,,,,1781199597.529773474,1.011338918,0.049427020,1.099980338,0.439784130
1781199597.530975,-0.060765938,-0.539764468,0.000000000,,,,,,,,
1781199597.530991,,,,-0.062449320,-0.525474365,0.000000000,,,,,
1781199597.530993,,,,,,,1781199597.530812263,1.011388097,0.049364805,1.100417951,0.439260627
1781199597.531909,,,,-0.062253578,-0.526856879,0.000000000,,,,,
1781199597.531925,,,,,,,1781199597.531851292,1.011441604,0.049297235,1.100894104,0.438688775
1781199597.531937,-0.060752902,-0.539678578,0.000000000,,,,,,,,
1781199597.532993,-0.060738840,-0.539582880,0.000000000,,,,,,,,
1781199597.533009,,,,-0.062374083,-0.525583441,0.000000000,,,,,
1781199597.533011,,,,,,,1781199597.532853127,1.011490439,0.049235369,1.101328706,0.438167469
1781199597.534080,-0.060725808,-0.539496175,0.000000000,,,,,,,,
1781199597.534098,,,,-0.060738840,-0.539582880,0.000000000,,,,,
1781199597.534100,,,,,,,1781199597.533914328,1.011542621,0.049170910,1.101793098,0.437594844
1781199597.535090,-0.060713532,-0.539387942,0.000000000,,,,,,,,
1781199597.535105,,,,-0.060738840,-0.539582880,0.000000000,,,,,
1781199597.535118,,,,,,,1781199597.535051346,1.011598449,0.049101851,1.102289938,0.436981347
1781199597.536071,,,,-0.062435043,-0.524538614,0.000000000,,,,,
1781199597.536097,-0.060700300,-0.539271286,0.000000000,,,,,,,,
1781199597.536099,,,,,,,1781199597.535990477,1.011644115,0.049043716,1.102696370,0.436492934
1781199597.537189,-0.060687831,-0.539189304,0.000000000,,,,,,,,
1781199597.537203,,,,-0.060700300,-0.539271286,0.000000000,,,,,
1781199597.537206,,,,,,,1781199597.537079334,1.011698933,0.048975775,1.103184254,0.435889335
1781199597.538134,-0.060674708,-0.539073590,0.000000000,,,,,,,,
1781199597.538149,,,,-0.060687831,-0.539189304,0.000000000,,,,,
1781199597.538161,,,,,,,1781199597.538082123,1.011747737,0.048915226,1.103618614,0.435351374
1781199597.539208,,,,-0.060674708,-0.539073590,0.000000000,,,,,
1781199597.539263,-0.060662963,-0.538969988,0.000000000,,,,,,,,
1781199597.539276,,,,,,,1781199597.539173841,1.011800893,0.048849201,1.104091713,0.434764769
1781199597.540235,,,,-0.060662963,-0.538969988,0.000000000,,,,,
1781199597.540249,,,,,,,1781199597.540154696,1.011848486,0.048790027,1.104515298,0.434239023
1781199597.540310,-0.060650094,-0.538856482,0.000000000,,,,,,,,
1781199597.541324,,,,-0.060662963,-0.538969988,0.000000000,,,,,
1781199597.541467,-0.060638513,-0.538754321,0.000000000,,,,,,,,
1781199597.541483,,,,,,,1781199597.541300535,1.011903820,0.048721130,1.105007779,0.433626901
1781199597.542309,,,,-0.062340974,-0.524029124,0.000000000,,,,,
1781199597.542333,-0.060624950,-0.538634680,0.000000000,,,,,,,,
1781199597.542336,,,,,,,1781199597.542267561,1.011950667,0.048661113,1.105424755,0.433122408
1781199597.543379,-0.060611780,-0.538547162,0.000000000,,,,,,,,
1781199597.543396,,,,-0.060624950,-0.538634680,0.000000000,,,,,
1781199597.543409,,,,,,,1781199597.543339491,1.012003051,0.048595762,1.105891015,0.432541784
1781199597.544466,,,,-0.060611780,-0.538547162,0.000000000,,,,,
1781199597.544487,,,,,,,1781199597.544417858,1.012056301,0.048529255,1.106364982,0.431950853
1781199597.544623,-0.060598813,-0.538432799,0.000000000,,,,,,,,
1781199597.545515,,,,-0.060611780,-0.538547162,0.000000000,,,,,
1781199597.545529,,,,,,,1781199597.545423269,1.012104648,0.048468796,1.106795310,0.431413660
1781199597.545542,-0.060585555,-0.538315834,0.000000000,,,,,,,,
1781199597.546543,-0.060573443,-0.538208970,0.000000000,,,,,,,,
1781199597.546558,,,,-0.060598813,-0.538432799,0.000000000,,,,,
1781199597.546570,,,,,,,1781199597.546497822,1.012155580,0.048405033,1.107248653,0.430847114
1781199597.547580,,,,-0.060573443,-0.538208970,0.000000000,,,,,
1781199597.547635,-0.060560613,-0.538095767,0.000000000,,,,,,,,
1781199597.547689,,,,,,,1781199597.547552347,1.012207283,0.048340246,1.107708853,0.430271469
1781199597.548682,-0.060547528,-0.537980322,0.000000000,,,,,,,,
1781199597.548697,,,,-0.062150154,-0.524353578,0.000000000,,,,,
1781199597.548700,,,,,,,1781199597.548596621,1.012258462,0.048274356,1.108164427,0.429715562
1781199597.549735,-0.060532818,-0.537879989,0.000000000,,,,,,,,
1781199597.549750,,,,-0.062088667,-0.524536823,0.000000000,,,,,
1781199597.549752,,,,,,,1781199597.549637556,1.012308997,0.048209272,1.108614294,0.429165723
1781199597.550747,,,,-0.060532818,-0.537879989,0.000000000,,,,,
1781199597.550762,,,,,,,1781199597.550644398,1.012355620,0.048150660,1.109029339,0.428644909
1781199597.550774,-0.060518269,-0.537780017,0.000000000,,,,,,,,
1781199597.551867,-0.060506280,-0.537674248,0.000000000,,,,,,,,
1781199597.551882,,,,-0.061953453,-0.525383785,0.000000000,,,,,
1781199597.551884,,,,,,,1781199597.551747322,1.012409874,0.048080752,1.109512352,0.428052068
1781199597.552865,-0.060490626,-0.537564419,0.000000000,,,,,,,,
1781199597.552907,,,,-0.062140109,-0.523387611,0.000000000,,,,,
1781199597.552913,,,,,,,1781199597.552777052,1.012459577,0.048016429,1.109954876,0.427510299
1781199597.553964,-0.060476006,-0.537465175,0.000000000,,,,,,,,
1781199597.553980,,,,-0.060490626,-0.537564419,0.000000000,,,,,
1781199597.553982,,,,,,,1781199597.553810358,1.012509019,0.047954061,1.110395087,0.426956045
1781199597.554927,-0.060463080,-0.537351132,0.000000000,,,,,,,,
1781199597.554940,,,,-0.061996017,-0.524309482,0.000000000,,,,,
1781199597.555003,,,,,,,1781199597.554899216,1.012560444,0.047887486,1.110852973,0.426393012
1781199597.556011,-0.060447930,-0.537245984,0.000000000,,,,,,,,
1781199597.556025,,,,-0.062010181,-0.523829772,0.000000000,,,,,
1781199597.556027,,,,,,,1781199597.555921793,1.012610575,0.047822481,1.111299379,0.425843888
1781199597.557101,-0.060433057,-0.537143267,0.000000000,,,,,,,,
1781199597.557117,,,,-0.061957457,-0.524061638,0.000000000,,,,,
1781199597.557119,,,,,,,1781199597.557011604,1.012660535,0.047757667,1.111744286,0.425295660
1781199597.558047,-0.060418202,-0.537039947,0.000000000,,,,,,,,
1781199597.558062,,,,-0.061937588,-0.523997174,0.000000000,,,,,
1781199597.558114,,,,,,,1781199597.558014631,1.012709342,0.047694285,1.112178953,0.424759441
1781199597.559150,-0.060403627,-0.536938394,0.000000000,,,,,,,,
1781199597.559165,,,,-0.060418202,-0.537039947,0.000000000,,,,,
1781199597.559167,,,,,,,1781199597.559064388,1.012759616,0.047630514,1.112626685,0.424192600
1781199597.560221,,,,-0.061947046,-0.523556731,0.000000000,,,,,
1781199597.560236,,,,,,,1781199597.560083866,1.012807639,0.047567974,1.113054403,0.423664034
1781199597.560260,-0.060390129,-0.536819285,0.000000000,,,,,,,,
1781199597.561248,-0.060375613,-0.536718436,0.000000000,,,,,,,,
1781199597.561262,,,,-0.060403627,-0.536938394,0.000000000,,,,,
1781199597.561264,,,,,,,1781199597.561171770,1.012859473,0.047502062,1.113516065,0.423078126
1781199597.562253,,,,-0.061965884,-0.522914236,0.000000000,,,,,
1781199597.562287,-0.060361535,-0.536594192,0.000000000,,,,,,,,
1781199597.562289,,,,,,,1781199597.562204838,1.012908849,0.047437564,1.113955863,0.422533847
1781199597.563311,,,,-0.060375613,-0.536718436,0.000000000,,,,,
1781199597.563335,-0.060346413,-0.536489710,0.000000000,,,,,,,,
1781199597.563338,,,,,,,1781199597.563281059,1.012959675,0.047372787,1.114408583,0.421958001
1781199597.564434,-0.060332462,-0.536366583,0.000000000,,,,,,,,
1781199597.564448,,,,-0.061905867,-0.522957545,0.000000000,,,,,
1781199597.564450,,,,,,,1781199597.564299345,1.013008484,0.047308918,1.114843365,0.421418459
1781199597.565398,,,,-0.061798214,-0.523544234,0.000000000,,,,,
1781199597.565423,-0.060317402,-0.536261824,0.000000000,,,,,,,,
1781199597.565426,,,,,,,1781199597.565302372,1.013054687,0.047248487,1.115254957,0.420906500
1781199597.566510,-0.060303174,-0.536161458,0.000000000,,,,,,,,
1781199597.567035,,,,-0.060317402,-0.536261824,0.000000000,,,,,
1781199597.567051,,,,,,,1781199597.566964865,1.013130282,0.047151784,1.115928389,0.420046749
1781199597.567433,,,,-0.062612300,-0.515974558,0.000000000,,,,,
1781199597.567462,-0.060282067,-0.535975138,0.000000000,,,,,,,,
1781199597.567464,,,,,,,1781199597.567372084,1.013152782,0.047121888,1.116128835,0.419800382
1781199597.568546,-0.060274670,-0.535929217,0.000000000,,,,,,,,
1781199597.568561,,,,-0.060282067,-0.535975138,0.000000000,,,,,
1781199597.568563,,,,,,,1781199597.568485498,1.013206005,0.047053703,1.116602986,0.419194140
1781199597.569578,-0.060259708,-0.535797126,0.000000000,,,,,,,,
1781199597.569592,,,,-0.061896816,-0.521692341,0.000000000,,,,,
1781199597.569593,,,,,,,1781199597.569519520,1.013254503,0.046989819,1.117035084,0.418655697
1781199597.570664,-0.060244322,-0.535690781,0.000000000,,,,,,,,
1781199597.570679,,,,-0.060259708,-0.535797126,0.000000000,,,,,
1781199597.570681,,,,,,,1781199597.570578575,1.013304207,0.046925992,1.117477922,0.418088182
1781199597.571737,,,,-0.060244322,-0.535690781,0.000000000,,,,,
1781199597.571750,,,,,,,1781199597.571610212,1.013352430,0.046864001,1.117907566,0.417536958
1781199597.571761,-0.060230199,-0.535566104,0.000000000,,,,,,,,
1781199597.572754,-0.060216431,-0.535444524,0.000000000,,,,,,,,
1781199597.572767,,,,-0.061706405,-0.522746485,0.000000000,,,,,
1781199597.572770,,,,,,,1781199597.572657824,1.013401795,0.046798911,1.118347413,0.416985552
